                                List of relations
 Schema |                   Name                   |       Type        |  Owner   
 public | business_calendars                       | table             | postgres
 public | business_object                          | table             | postgres
 public | business_object_access_rules             | table             | postgres
 public | business_object_binding                  | table             | postgres
 public | business_object_bindings                 | table             | postgres
 public | business_object_def                      | table             | postgres
 public | business_object_field                    | table             | postgres
 public | business_object_fields                   | table             | postgres
 public | business_object_relationship             | table             | postgres
 public | business_object_relationships            | table             | postgres
 public | business_object_rules                    | table             | postgres
 public | business_object_validation_rule          | table             | postgres
 public | business_objects                         | table             | postgres
 public | business_processes                       | table             | postgres
 public | business_rule_versions                   | table             | postgres
 public | business_rules                           | table             | postgres
 public | business_term_slos                       | table             | postgres
 public | calc_search_events                       | table             | postgres
 public | calc_search_interactions                 | table             | postgres
 public | calculated_formulas                      | table             | postgres
 public | calculation_definitions                  | table             | postgres
 public | calculation_dependencies                 | table             | postgres
 public | calendar_confidence_thresholds           | table             | postgres
 public | calendar_events                          | table             | postgres
 public | calendar_holidays                        | table             | postgres
 public | calendars                                | table             | postgres
 public | candidate_bundles                        | table             | postgres
 public | capital_call_forecasts                   | table             | postgres
 public | capital_calls                            | table             | postgres
 public | capital_events                           | table             | postgres
 public | carbon_footprint_calculations            | table             | postgres
 public | cash_flow_forecasts                      | table             | postgres
 public | catalog_edge                             | partitioned table | postgres
 public | catalog_edge_2026q1                      | table             | postgres
 public | catalog_edge_2026q2                      | table             | postgres
 public | catalog_edge_future                      | table             | postgres
 public | catalog_edge_types                       | table             | postgres
 public | catalog_node                             | table             | postgres
 public | catalog_node_audit_log                   | table             | postgres
 public | catalog_node_deletion_log                | table             | postgres
 public | catalog_node_types                       | table             | postgres
 public | catalog_validation_rule_cores            | table             | postgres
 public | catalog_validation_rules                 | table             | postgres
 public | catalog_validation_rules_audit           | table             | postgres
 public | categories                               | table             | postgres
 public | cbo_column_stats                         | table             | postgres
 public | cbo_plan_cache                           | table             | postgres
 public | cbo_query_log                            | table             | postgres
 public | cbo_recommendations                      | table             | postgres
 public | cbo_resource_snapshots                   | table             | postgres
 public | cbo_table_stats                          | table             | postgres
 public | charitable_bunching_analyses             | table             | postgres
 public | churn_predictions                        | table             | postgres
 public | claim_bundle                             | table             | postgres
 public | claim_bundle_item                        | table             | postgres
 public | claim_conflict                           | table             | postgres
 public | claim_drift                              | table             | postgres
 public | claim_usage_log                          | table             | postgres
 public | client_allocation_targets                | table             | postgres
 public | client_fee_assignments                   | table             | postgres
 public | client_goals                             | table             | postgres
 public | client_investors                         | table             | postgres
 public | client_messages                          | table             | postgres
 public | client_sessions                          | table             | postgres
 public | client_signals                           | table             | postgres
 public | client_tax_profiles                      | table             | postgres
 public | client_transitions                       | table             | postgres
 public | client_values_profiles                   | table             | postgres
 public | clients                                  | table             | postgres
 public | collaboration_comments                   | table             | postgres
 public | collaboration_workspaces                 | table             | postgres
 public | compliance_alerts                        | table             | postgres
 public | compliance_audit_log                     | table             | postgres
 public | compliance_breaches                      | table             | postgres
 public | compliance_checkpoints                   | table             | postgres
 public | compliance_events                        | table             | postgres
 public | compliance_policies                      | table             | postgres
 public | compliance_reports                       | table             | postgres
 public | compliance_results                       | table             | postgres
 public | compliance_rules                         | table             | postgres
 public | connection_pool_metrics                  | table             | postgres
 public | connections                              | table             | postgres
 public | connector_module_def                     | table             | postgres
 public | consent_preferences                      | table             | postgres
 public | constraints                              | table             | postgres
 public | content_optimizations                    | table             | postgres
 public | conversation_context                     | table             | postgres
 public | copilot_saved_shortcut                   | table             | postgres
 public | core_artifact                            | table             | postgres
 public | cppi_floors                              | table             | postgres
 public | crypto_address_whitelist                 | table             | postgres
 public | crypto_allocations                       | table             | postgres
 public | crypto_custody_integrations              | table             | postgres
 public | crypto_holdings                          | table             | postgres
 public | crypto_market_data                       | table             | postgres
 public | crypto_prices                            | table             | postgres
 public | crypto_tax_lots                          | table             | postgres
 public | crypto_transactions                      | table             | postgres
 public | crypto_wallets                           | table             | postgres
 public | cube_core_models                         | table             | postgres
 public | cube_custom_model_versions               | table             | postgres
 public | cube_custom_models                       | table             | postgres
 public | cube_model_builder_sessions              | table             | postgres
 public | cube_model_builder_steps                 | table             | postgres
 public | cube_preaggregation_configs              | table             | postgres
 public | cube_security_cache                      | table             | postgres
 public | cube_security_policies                   | table             | postgres
 public | cube_security_policy_versions            | table             | postgres
 public | custom_components                        | table             | postgres
 public | custom_fields                            | table             | postgres
 public | customer_demographics                    | table             | postgres
 public | customers                                | table             | postgres
 public | dag_runs                                 | table             | postgres
 public | daily_metrics                            | table             | postgres
 public | dashboard_widgets                        | table             | postgres
 public | dashboards                               | table             | postgres
 public | data_access_log                          | table             | postgres
 public | data_classification_templates            | table             | postgres
 public | data_domain                              | table             | postgres
 public | data_domains                             | table             | postgres
 public | data_quality_issues                      | table             | postgres
 public | data_quality_rules                       | table             | postgres
 public | datasource_health_checks                 | table             | postgres
 public | datasource_integrity_checks              | table             | postgres
 public | datasource_lookup_sync_history           | table             | postgres
 public | datasource_lookups                       | table             | postgres
 public | datasource_schema_snapshots              | table             | postgres
 public | dax_functions                            | table             | postgres
 public | defi_positions                           | table             | postgres
 public | delegation_audit                         | table             | postgres
 public | delegation_usage                         | table             | postgres
 public | dim_country_cd                           | table             | postgres
 public | discovery_candidates                     | table             | postgres
 public | discovery_runs                           | table             | postgres
 public | distributions                            | table             | postgres
 public | document_chunks                          | table             | postgres
 public | document_processing_queue                | table             | postgres
 public | document_repository                      | table             | postgres
 public | document_type_configs                    | table             | postgres
 public | document_versions                        | table             | postgres
 public | drawdown_analyses                        | table             | postgres
 public | drift_log_entries                        | table             | postgres
 public | drift_reports                            | table             | postgres
 public | drift_snapshots                          | table             | postgres
 public | due_diligence_items                      | table             | postgres
 public | due_diligence_templates                  | table             | postgres
 public | dynasty_trust_simulations                | table             | postgres
 public | e_signatures                             | table             | postgres
 public | edge_creation_dlq                        | table             | postgres
 public | edge_creation_queue                      | table             | postgres
 public | education_529_plans                      | table             | postgres
 public | effective_artifact_snapshot              | table             | postgres
 public | effective_permissions_artifacts          | table             | postgres
 public | embed_tokens                             | table             | postgres
 public | embed_usage_logs                         | table             | postgres
 public | employees                                | table             | postgres
 public | engagement_metrics                       | table             | postgres
 public | engagement_notifications                 | table             | postgres
 public | entities                                 | table             | postgres
 public | entity_attribute                         | table             | postgres
 public | entity_hierarchy_audit_log               | table             | postgres
 public | entity_hierarchy_rules                   | table             | postgres
 public | entity_identity_map                      | table             | postgres
 public | entity_monitors                          | table             | postgres
 public | entity_registry                          | table             | postgres
 public | entity_resolution_queue                  | table             | postgres
 public | entity_schema_backup                     | table             | postgres
 public | entity_search_config                     | table             | postgres
 public | entity_statistics                        | table             | postgres
 public | env_binding                              | table             | postgres
 public | esg_portfolio_scores                     | table             | postgres
 public | esignature_requests                      | table             | postgres
 public | etl_runs                                 | table             | postgres
 public | event_configs                            | table             | postgres
 public | event_handlers                           | table             | postgres
 public | event_subscriptions                      | table             | postgres
 public | events                                   | table             | postgres
 public | exception_routes                         | table             | postgres
 public | explorer_saved_query                     | table             | postgres
 public | export_schedules                         | table             | postgres
 public | exposed_apis                             | table             | postgres
 public | exposure_breakdown                       | table             | postgres
 public | expression_history                       | table             | postgres
 public | expression_rules                         | table             | postgres
 public | expression_test_runs                     | table             | postgres
 public | external_calendar_connections            | table             | postgres
 public | fabric_defn                              | table             | postgres
 public | fabric_defn_audit                        | table             | postgres
 public | fabric_defn_index                        | table             | postgres
 public | family_offices                           | table             | postgres
 public | fee_calculations                         | table             | postgres
 public | fee_schedules                            | table             | postgres
 public | field_aliases                            | table             | postgres
 public | field_binding                            | table             | postgres
 public | field_bindings                           | table             | postgres
 public | field_dependencies                       | table             | postgres
 public | field_metadata                           | table             | postgres
 public | field_validation_rules                   | table             | postgres
 public | financial_entities                       | table             | postgres
 public | financial_tools                          | table             | postgres
 public | finops_config                            | table             | postgres
 public | form_adv_filings                         | table             | postgres
 public | form_submissions                         | table             | postgres
 public | fund_commitments                         | table             | postgres
 public | fund_position_snapshots                  | table             | postgres
 public | gips_compliance_reports                  | table             | postgres
 public | global_calendars                         | table             | postgres
 public | google_sync_results                      | table             | postgres
 public | high_water_marks                         | table             | postgres
 public | households                               | table             | postgres
 public | human_tasks                              | table             | postgres
 public | iceberg_bootstrap_log                    | table             | postgres
 public | iceberg_identity_map                     | table             | postgres
 public | impact_analysis_history                  | table             | postgres
 public | impact_investments                       | table             | postgres
 public | impersonation_action_audit               | table             | postgres
 public | installed_integrations                   | table             | postgres
 public | instance_creation_log                    | table             | postgres
 public | integration_api_keys                     | table             | postgres
 public | integration_audit_logs                   | table             | postgres
 public | integration_configs                      | table             | postgres
 public | integration_credentials                  | table             | postgres
 public | integration_executions                   | table             | postgres
 public | integration_logs                         | table             | postgres
 public | integration_metrics                      | table             | postgres
 public | integration_versions                     | table             | postgres
 public | integrations                             | table             | postgres
 public | intent_plans                             | table             | postgres
 public | inter_entity_transfers                   | table             | postgres
 public | investment_committee_meetings            | table             | postgres
 public | investment_committee_reviews             | table             | postgres
 public | investment_opportunities                 | table             | postgres
 public | ip_whitelist                             | table             | postgres
 public | ip_whitelist_entries                     | table             | postgres
 public | job_dependencies                         | table             | postgres
 public | job_exports                              | table             | postgres
 public | job_items                                | table             | postgres
 public | job_runs                                 | table             | postgres
 public | jobs                                     | table             | postgres
 public | languages                                | table             | postgres
 public | layout_actions                           | table             | postgres
 public | layout_customizations                    | table             | postgres
 public | layout_sections                          | table             | postgres
 public | ledger_entry                             | table             | postgres
 public | locales                                  | table             | postgres
 public | lookup_values                            | table             | postgres
 public | lookups                                  | table             | postgres
 public | manager_updates                          | table             | postgres
 public | marketplace_integration_settings         | table             | postgres
 public | marketplace_integrations                 | table             | postgres
 public | marketplace_item_feedback                | table             | postgres
 public | marketplace_item_parameters              | table             | postgres
 public | marketplace_item_usage                   | table             | postgres
 public | marketplace_item_versions                | table             | postgres
 public | marketplace_items                        | table             | postgres
 public | materialization_def                      | table             | postgres
 public | meeting_participants                     | table             | postgres
 public | meeting_preparations                     | table             | postgres
 public | message_attachments                      | table             | postgres
 public | message_catalog                          | table             | postgres
 public | message_delivery_logs                    | table             | postgres
 public | message_sets                             | table             | postgres
 public | message_targets                          | table             | postgres
 public | message_templates                        | table             | postgres
 public | metadata_columns                         | table             | postgres
 public | metadata_event_logs                      | table             | postgres
 public | metadata_event_versions                  | table             | postgres
 public | metadata_events                          | table             | postgres
 public | metadata_fields                          | table             | postgres
 public | metadata_relationships                   | table             | postgres
 public | metadata_tables                          | table             | postgres
 public | metadata_versions                        | table             | postgres
 public | metric_def                               | table             | postgres
 public | metric_definitions                       | table             | postgres
 public | metric_execution_lineage                 | table             | postgres
 public | metrics                                  | table             | postgres
 public | metrics_comparison_periods               | table             | postgres
 public | metrics_finalized                        | table             | postgres
 public | metrics_registry                         | table             | postgres
 public | migration_jobs                           | table             | postgres
 public | migration_plans                          | table             | postgres
 public | migration_steps                          | table             | postgres
 public | model_types                              | table             | postgres
 public | model_upgrade_audit                      | table             | postgres
 public | navigation_menu_nodes                    | table             | postgres
 public | navigator_audit_trail                    | table             | postgres
 public | nba_action_catalog                       | table             | postgres
 public | nba_action_outcomes                      | table             | postgres
 public | niit_calculations                        | table             | postgres
 public | northwind_mutations_shadow               | table             | postgres
 public | notification_analytics                   | table             | postgres
 public | notification_audit_logs                  | table             | postgres
 public | notification_campaigns                   | table             | postgres
 public | notification_channels                    | table             | postgres
 public | notification_contents                    | table             | postgres
 public | notification_delivery_rules              | table             | postgres
 public | notification_delivery_tracks             | table             | postgres
 public | notification_digests                     | table             | postgres
 public | notification_escalations                 | table             | postgres
 public | notification_log                         | table             | postgres
 public | notification_logs                        | table             | postgres
 public | notification_preferences                 | table             | postgres
 public | notification_queue                       | table             | postgres
 public | notification_recommendations             | table             | postgres
 public | notification_rule                        | table             | postgres
 public | notification_schedule                    | table             | postgres
 public | notification_subscription                | table             | postgres
 public | notification_template                    | table             | postgres
 public | notification_templates                   | table             | postgres
 public | notifications                            | table             | postgres
 public | oauth_tokens                             | table             | postgres
 public | obs_alert_rules                          | table             | postgres
 public | obs_alerts                               | table             | postgres
 public | obs_dashboards                           | table             | postgres
 public | obs_events                               | table             | postgres
 public | obs_metric_aggregates                    | table             | postgres
 public | obs_metrics                              | table             | postgres
 public | obs_notification_channels                | table             | postgres
 public | obs_slo_snapshots                        | table             | postgres
 public | obs_slos                                 | table             | postgres
 public | onboarding_sessions                      | table             | postgres
 public | operator_leases                          | table             | postgres
 public | opportunity_funnel_metrics               | table             | postgres
 public | ops_alert_events                         | table             | postgres
 public | ops_alerts                               | table             | postgres
 public | ops_audit_log                            | table             | postgres
 public | ops_endpoint_health_cache                | table             | postgres
 public | ops_error_events                         | table             | postgres
 public | ops_error_fingerprints                   | table             | postgres
 public | ops_events                               | table             | postgres
 public | ops_incidents                            | table             | postgres
 public | ops_latency_heatmap                      | table             | postgres
 public | ops_tenant_health_cache                  | table             | postgres
 public | option_legs                              | table             | postgres
 public | options_overlay_strategies               | table             | postgres
 public | order_details                            | table             | postgres
 public | orders                                   | table             | postgres
 public | outbox                                   | table             | postgres
 public | ownership_relationships                  | table             | postgres
 public | page_field_widgets                       | table             | postgres
 public | page_layouts                             | table             | postgres
 public | page_registry                            | table             | postgres
 public | pe_benchmarks                            | table             | postgres
 public | pending_semantic_mappings                | table             | postgres
 public | performance_metrics                      | table             | postgres
 public | permissions                              | table             | postgres
 public | persistent_store                         | table             | postgres
 public | persona_definitions                      | table             | postgres
 public | physical_backend                         | table             | postgres
 public | pipeline_metrics_snapshots               | table             | postgres
 public | pipelines                                | table             | postgres
 public | planner_telemetry                        | table             | postgres
 public | platform_admin_audit                     | table             | postgres
 public | platform_page_blueprints                 | table             | postgres
 public | policies                                 | table             | postgres
 public | policy                                   | table             | postgres
 public | policy_evaluation                        | table             | postgres
 public | policy_set                               | table             | postgres
 public | policy_simulation_result                 | table             | postgres
 public | policy_version_history                   | table             | postgres
 public | policy_violation                         | table             | postgres
 public | pop_anomalies                            | table             | postgres
 public | pop_audit_trail                          | table             | postgres
 public | pop_compliance_predictions               | table             | postgres
 public | pop_compliance_report_sections           | table             | postgres
 public | pop_compliance_reports                   | table             | postgres
 public | pop_compliance_requirements              | table             | postgres
 public | pop_computations                         | table             | postgres
 public | pop_custom_widgets                       | table             | postgres
 public | pop_dashboard_permissions                | table             | postgres
 public | pop_dashboard_templates                  | table             | postgres
 public | pop_dashboard_widgets                    | table             | postgres
 public | pop_dashboards                           | table             | postgres
 public | pop_data_lineage                         | table             | postgres
 public | pop_external_data_mappings               | table             | postgres
 public | pop_external_data_sources                | table             | postgres
 public | pop_generated_reports                    | table             | postgres
 public | pop_metric_tags                          | table             | postgres
 public | pop_metrics                              | table             | postgres
 public | pop_ml_anomalies                         | table             | postgres
 public | pop_ml_models                            | table             | postgres
 public | pop_performance_benchmarks               | table             | postgres
 public | pop_performance_measurements             | table             | postgres
 public | pop_report_templates                     | table             | postgres
 public | pop_steward_comments                     | table             | postgres
 public | pop_steward_reviews                      | table             | postgres
 public | pop_system_health                        | table             | postgres
 public | pop_system_health_alerts                 | table             | postgres
 public | portfolio_alt_metrics_snapshots          | table             | postgres
 public | portfolio_holdings                       | table             | postgres
 public | portfolio_risk_metrics                   | table             | postgres
 public | portfolio_snapshots                      | table             | postgres
 public | portfolios                               | table             | postgres
 public | preagg_features                          | table             | postgres
 public | predicted_optimal_times                  | table             | postgres
 public | prepared_statement_metrics               | table             | postgres
 public | private_equity_investments               | table             | postgres
 public | private_markets_bundles                  | table             | postgres
 public | private_markets_fund_metrics             | table             | postgres
 public | private_markets_funds                    | table             | postgres
 public | private_markets_refresh_tokens           | table             | postgres
 public | private_markets_sessions                 | table             | postgres
 public | private_markets_user_auth                | table             | postgres
 public | private_markets_user_preferences         | table             | postgres
 public | private_markets_users                    | table             | postgres
 public | process_bottleneck_analysis              | table             | postgres
 public | process_designer_permissions             | table             | postgres
 public | process_execution_log                    | table             | postgres
 public | process_execution_metrics                | table             | postgres
 public | process_instances                        | table             | postgres
 public | process_interventions                    | table             | postgres
 public | process_optimization_recommendations     | table             | postgres
 public | process_optimization_suggestions         | table             | postgres
 public | process_performance_baselines            | table             | postgres
 public | process_step_types                       | table             | postgres
 public | process_steps                            | table             | postgres
 public | process_templates                        | table             | postgres
 public | process_versions                         | table             | postgres
 public | processes                                | table             | postgres
 public | products                                 | table             | postgres
 public | profile_calendars                        | table             | postgres
 public | proposed_trades                          | table             | postgres
 public | pushback_analysis                        | table             | postgres
 public | quality_results                          | table             | postgres
 public | quality_rules                            | table             | postgres
 public | quarterly_reviews                        | table             | postgres
 public | query_feedback                           | table             | postgres
 public | query_plan_audit                         | table             | postgres
 public | rag_configs                              | table             | postgres
 public | real_estate_syndications                 | table             | postgres
 public | rebalance_audit                          | table             | postgres
 public | rebalance_executions                     | table             | postgres
 public | recommended_actions                      | table             | postgres
 public | reconciliation_records                   | table             | postgres
 public | ref_service_codes                        | table             | postgres
 public | reference_data                           | table             | postgres
 public | refresh_tokens                           | table             | postgres
 public | region                                   | table             | postgres
 public | region_config                            | table             | postgres
 public | region_routing                           | table             | postgres
 public | regional_health                          | table             | postgres
 public | regional_metrics                         | table             | postgres
 public | regional_sla                             | table             | postgres
 public | regional_sla_status                      | table             | postgres
 public | regulatory_filings                       | table             | postgres
 public | relationship_binding                     | table             | postgres
 public | relationship_suggestion_audit            | table             | postgres
 public | relationship_suggestions                 | table             | postgres
 public | report_business_objects                  | table             | postgres
 public | report_cache_metadata                    | table             | postgres
 public | report_executions                        | table             | postgres
 public | report_exports                           | table             | postgres
 public | report_runs                              | table             | postgres
 public | report_subscriptions                     | table             | postgres
 public | report_templates                         | table             | postgres
 public | reports                                  | table             | postgres
 public | revenue_recognition_schedule             | table             | postgres
 public | revoked_tokens                           | table             | postgres
 public | risk_abac_policies                       | table             | postgres
 public | risk_alerts                              | table             | postgres
 public | risk_daily_summary                       | table             | postgres
 public | risk_event_audit_trail                   | table             | postgres
 public | risk_events                              | table             | postgres
 public | risk_metrics                             | table             | postgres
 public | risk_metrics_history                     | table             | postgres
 public | risk_mitigation_actions                  | table             | postgres
 public | risk_thresholds                          | table             | postgres
 public | role                                     | table             | postgres
 public | role_abac_policy                         | table             | postgres
 public | role_audit_log                           | table             | postgres
 public | role_claim                               | table             | postgres
 public | role_claim_extended                      | table             | postgres
 public | role_integration_permissions             | table             | postgres
 public | role_management                          | table             | postgres
 public | role_member                              | table             | postgres
 public | role_permissions                         | table             | postgres
 public | roles                                    | table             | postgres
 public | routing_rule                             | table             | postgres
 public | rule_action_types                        | table             | postgres
 public | rule_approvals                           | table             | postgres
 public | rule_config_changelog                    | table             | postgres
 public | rule_definitions                         | table             | postgres
 public | rule_dependencies                        | table             | postgres
 public | rule_evaluation_history                  | table             | postgres
 public | rule_evaluation_results                  | table             | postgres
 public | rule_evaluations                         | table             | postgres
 public | rule_execution_policies                  | table             | postgres
 public | rule_logic                               | table             | postgres
 public | rule_simulations                         | table             | postgres
 public | rule_steps                               | table             | postgres
 public | rule_templates                           | table             | postgres
 public | rule_versions                            | table             | postgres
 public | rule_violations                          | table             | postgres
 public | rules                                    | table             | postgres
 public | scan_jobs                                | table             | postgres
 public | scenario_analyses                        | table             | postgres
 public | scenario_analysis                        | table             | postgres
 public | scenario_pnl                             | table             | postgres
 public | scenario_results                         | table             | postgres
 public | scenario_simulations                     | table             | postgres
 public | scenarios                                | table             | postgres
 public | schedule_profiles                        | table             | postgres
 public | scheduled_dags                           | table             | postgres
 public | scheduled_jobs                           | table             | postgres
 public | scheduled_report_executions              | table             | postgres
 public | scheduled_reports                        | table             | postgres
 public | scheduler_ai_suggestions                 | table             | postgres
 public | scheduler_changeset_approvals            | table             | postgres
 public | scheduler_changesets                     | table             | postgres
 public | schema_drift_proposals                   | table             | postgres
 public | schema_migrations                        | table             | postgres
 public | screening_executions                     | table             | postgres
 public | screening_rule_sets                      | table             | postgres
 public | sector_hierarchy                         | table             | postgres
 public | secure_messages                          | table             | postgres
 public | security_audit_log                       | table             | postgres
 public | security_group_members                   | table             | postgres
 public | security_groups                          | table             | postgres
 public | security_user_fund_access                | table             | postgres
 public | semantic_abbreviations                   | table             | postgres
 public | semantic_aggregate_build_jobs            | table             | postgres
 public | semantic_aggregate_build_stats           | table             | postgres
 public | semantic_aggregate_registry              | table             | postgres
 public | semantic_aliases                         | table             | postgres
 public | semantic_ambiguous_columns               | table             | postgres
 public | semantic_anomalies                       | table             | postgres
 public | semantic_assets                          | table             | postgres
 public | semantic_audit_log                       | table             | postgres
 public | semantic_cache_invalidation_log          | table             | postgres
 public | semantic_change_events                   | table             | postgres
 public | semantic_compliance_events               | table             | postgres
 public | semantic_contracts                       | table             | postgres
 public | semantic_cost_rollups                    | table             | postgres
 public | semantic_cube_cache                      | table             | postgres
 public | semantic_cubes_v2                        | table             | postgres
 public | semantic_dimensions_v2                   | table             | postgres
 public | semantic_drift_issues                    | table             | postgres
 public | semantic_drift_reports                   | table             | postgres
 public | semantic_event_delivery_log              | table             | postgres
 public | semantic_events                          | table             | postgres
 public | semantic_layer_audit_log                 | table             | postgres
 public | semantic_mapping_ignores                 | table             | postgres
 public | semantic_mapping_suggestions             | table             | postgres
 public | semantic_measures_v2                     | table             | postgres
 public | semantic_model                           | table             | postgres
 public | semantic_notification                    | table             | postgres
